
,,Sales Person,Geography,Product,Date,Sales,Boxes
,,Dennison Crosswaite,Canada   ,Fruit & Nut Bars,01/08/2024,6158.25,1298
,,Camilla Castle,USA   ,Milk Bars,01/10/2024,1746,50
,,Jan Morforth,USA,Spicy Special Slims,09/07/2023,4032,486
,,Gigi Bohling,USA   ,Choco Coated Almonds,03/02/2023,2628,387
,,Mallorie Waber,Canada   ,Eclairs,03/14/2023,3917.25,516
,,Marney O'Breen,Australia ,Peanut Butter Cubes,02/20/2023,8235,1092
,,Madelene Upcott,UK   ,After Nines,09/19/2023,4738.5,484
,,Barr Faughny,USA   ,Caramel Stuffed Bars,03/17/2023,11801.25,136
,,Roddy Speechley,India,70% Dark Bites,08/01/2023,4479.75,289
,,Marney O'Breen,USA ,Manuka Honey Choco,08/08/2023,13689,57
,,Husein Augar,Australia   ,Milk Bars,12/04/2023,6756.75,187
,,Camilla Castle,New Zealand ,50% Dark Bites,06/16/2023,3834,7
,,Dotty Strutley,UK ,Raspberry Choco,04/21/2023,4540.5,563
,,Andria Kimpton,New Zealand   ,85% Dark Bars,11/02/2023,7519.5,164
,,Gunar Cockshoot,Canada,Choco Coated Almonds,07/17/2023,8912.25,357
,,Mallorie Waber,UK   ,50% Dark Bites,01/23/2024,3591,1206
,,Barr Faughny,New Zealand,Mint Chip Choco,01/29/2024,1037.25,89
,,Kaine Padly,Australia,Organic Choco Syrup,12/29/2023,13203,325
,,Jan Morforth,India   ,85% Dark Bars,09/19/2023,10329.75,111
,,Barr Faughny,UK ,Organic Choco Syrup,03/17/2023,5937.75,426
,,Wilone O'Kielt,UK ,Orange Choco,03/28/2023,8610.75,163
,,Camilla Castle,Australia ,Peanut Butter Cubes,06/02/2023,14989.5,139
,,Brien Boise,Canada   ,Peanut Butter Cubes,01/24/2024,10280.25,366
,,Curtice Advani,Canada  ,After Nines,04/11/2023,11151,269
,,Dennison Crosswaite,Australia  ,Drinking Coco,10/06/2023,6057,396
,,Marney O'Breen,New Zealand,Milk Bars,03/08/2023,4113,423
,,Camilla Castle,UK,White Choc,02/02/2024,8041.5,75
,,Van Tuxwell,Canada,85% Dark Bars,10/20/2023,3584.25,186
,,Beverie Moffet,Australia  ,Spicy Special Slims,09/21/2023,8374.5,10
,,Ches Bonnell,UK ,Mint Chip Choco,04/25/2023,573.75,109
,,Roddy Speechley,Australia,Caramel Stuffed Bars,09/19/2023,2841.75,17
,,Madelene Upcott,Australia   ,Eclairs,10/11/2023,1334.25,12
,,Oby Sorrel,USA,70% Dark Bites,06/14/2023,5377.5,281
,,Roddy Speechley,New Zealand  ,Orange Choco,05/31/2023,7260.75,318
,,Dennison Crosswaite,UK   ,Manuka Honey Choco,01/30/2024,2805.75,138
,,Kelci Walkden,Australia,85% Dark Bars,04/04/2023,6885,333
,,Husein Augar,USA   ,Orange Choco,07/18/2023,1640.25,412
,,Jan Morforth,Canada  ,Spicy Special Slims,02/09/2023,5469.75,28
,,Wilone O'Kielt,New Zealand  ,50% Dark Bites,05/09/2023,3093.75,2115
,,Wilone O'Kielt,India,Choco Coated Almonds,11/30/2023,2079,162
,,Wilone O'Kielt,Australia   ,Peanut Butter Cubes,02/08/2023,6457.5,860
,,Ches Bonnell,USA   ,Almond Choco,06/06/2023,7530.75,340
,,Jehu Rudeforth,India   ,Raspberry Choco,06/27/2023,6567.75,440
,,Dotty Strutley,Canada   ,Eclairs,02/12/2024,5521.5,49
,,Madelene Upcott,India,Smooth Silky Salty,05/11/2023,4371.75,334
,,Kelci Walkden,New Zealand  ,Organic Choco Syrup,07/10/2023,15889.5,607
,,Madelene Upcott,Australia  ,Smooth Silky Salty,02/06/2023,974.25,69
,,Kaine Padly,India   ,Spicy Special Slims,05/30/2023,6671.25,62
,,Jehu Rudeforth,UK,Manuka Honey Choco,07/10/2023,65.25,164
,,Kaine Padly,Australia ,Manuka Honey Choco,02/12/2024,12525.75,53
,,Jehu Rudeforth,Canada  ,99% Dark & Pure,11/16/2023,5726.25,50
,,Wilone O'Kielt,Australia   ,50% Dark Bites,04/21/2023,3285,469
,,Dennison Crosswaite,New Zealand   ,Peanut Butter Cubes,07/10/2023,2821.5,418
,,Rafaelita Blaksland,Canada,Peanut Butter Cubes,12/21/2023,5463,352
,,Husein Augar,India  ,Orange Choco,02/23/2023,9769.5,646
,,Gigi Bohling,New Zealand ,Spicy Special Slims,10/09/2023,612,97
,,Van Tuxwell,USA  ,Drinking Coco,04/11/2023,7218,105
,,Andria Kimpton,India  ,Organic Choco Syrup,12/15/2023,12474,181
,,Beverie Moffet,USA   ,Fruit & Nut Bars,11/27/2023,2670.75,40
,,Oby Sorrel,India ,Milk Bars,01/09/2024,3327.75,288
,,Andria Kimpton,Canada   ,Choco Coated Almonds,12/12/2023,805.5,35
,,Van Tuxwell,USA  ,50% Dark Bites,04/13/2023,7814.25,846
,,Jan Morforth,Canada ,Caramel Stuffed Bars,06/27/2023,263.25,679
,,Dotty Strutley,Canada   ,Milk Bars,03/27/2023,7731,391
,,Mallorie Waber,India,Eclairs,03/14/2023,3179.25,16
,,Barr Faughny,UK  ,Caramel Stuffed Bars,09/27/2023,114.75,398
,,Marney O'Breen,India   ,70% Dark Bites,01/15/2024,11126.25,516
,,Andria Kimpton,Canada   ,Fruit & Nut Bars,03/29/2023,6891.75,835
,,Kelci Walkden,India   ,Baker's Choco Chips,09/01/2023,7479,913
,,Madelene Upcott,India,99% Dark & Pure,07/07/2023,6907.5,54
,,Barr Faughny,UK ,Almond Choco,11/27/2023,8829,58
,,Jehu Rudeforth,Canada,Raspberry Choco,06/22/2023,9108,491
,,Ches Bonnell,Australia ,Baker's Choco Chips,07/06/2023,2040.75,580
,,Van Tuxwell,New Zealand ,50% Dark Bites,02/16/2023,1804.5,1165
,,Barr Faughny,USA  ,Organic Choco Syrup,02/22/2023,15972.75,837
,,Brien Boise,USA  ,Smooth Silky Salty,08/21/2023,8237.25,152
,,Andria Kimpton,New Zealand   ,After Nines,03/02/2023,4619.25,448
,,Kaine Padly,UK ,Eclairs,12/04/2023,9875.25,90
,,Mallorie Waber,Canada   ,85% Dark Bars,02/06/2023,4340.25,247
,,Barr Faughny,USA  ,99% Dark & Pure,03/29/2023,8871.75,110
,,Van Tuxwell,India ,Peanut Butter Cubes,05/05/2023,10730.25,545
,,Ches Bonnell,Australia   ,Spicy Special Slims,08/23/2023,2169,306
,,Dennison Crosswaite,UK  ,99% Dark & Pure,07/19/2023,4464,198
,,Brien Boise,New Zealand   ,Spicy Special Slims,01/11/2024,3885.75,56
,,Ches Bonnell,New Zealand,Smooth Silky Salty,09/21/2023,3991.5,5
,,Curtice Advani,New Zealand   ,Eclairs,03/06/2023,5112,345
,,Marney O'Breen,Canada,Drinking Coco,09/22/2023,3888,679
,,Marney O'Breen,Australia,50% Dark Bites,04/13/2023,10689.75,52
,,Roddy Speechley,Australia,Orange Choco,05/26/2023,8408.25,17
,,Van Tuxwell,New Zealand   ,Manuka Honey Choco,02/28/2023,14010.75,221
,,Husein Augar,UK   ,Drinking Coco,08/03/2023,2916,32
,,Rafaelita Blaksland,New Zealand,85% Dark Bars,07/11/2023,5832,483
,,Brien Boise,Canada   ,Almond Choco,09/06/2023,5361.75,157
,,Wilone O'Kielt,Canada   ,Caramel Stuffed Bars,11/10/2023,2677.5,268
,,Madelene Upcott,USA,50% Dark Bites,07/26/2023,9677.25,2022
,,Jan Morforth,USA,Raspberry Choco,08/30/2023,6608.25,264
,,Dennison Crosswaite,New Zealand   ,Choco Coated Almonds,09/29/2023,1750.5,170
,,Beverie Moffet,USA   ,Drinking Coco,08/30/2023,3775.5,701
,,Karlen McCaffrey,New Zealand,99% Dark & Pure,05/03/2023,8178.75,12
,,Jehu Rudeforth,UK   ,Eclairs,07/03/2023,301.5,86
,,Beverie Moffet,Canada ,Fruit & Nut Bars,03/28/2023,11416.5,14
,,Kaine Padly,Australia  ,Caramel Stuffed Bars,07/11/2023,1903.5,677
,,Gunar Cockshoot,Canada   ,Almond Choco,05/05/2023,13077,397
,,Rafaelita Blaksland,Australia   ,50% Dark Bites,07/27/2023,4362.75,44
,,Dennison Crosswaite,India,85% Dark Bars,06/15/2023,2623.5,281
,,Marney O'Breen,Canada  ,Choco Coated Almonds,12/11/2023,4459.5,96
,,Kaine Padly,New Zealand ,Organic Choco Syrup,06/07/2023,4943.25,392
,,Dennison Crosswaite,Canada  ,Milk Bars,04/05/2023,3773.25,315
,,Beverie Moffet,Canada   ,Eclairs,08/16/2023,1993.5,154
,,Kelci Walkden,UK   ,Milk Bars,03/14/2023,4970.25,396
,,Jan Morforth,Australia ,Peanut Butter Cubes,10/20/2023,6552,1166
,,Kaine Padly,India   ,Caramel Stuffed Bars,03/23/2023,1563.75,145
,,Madelene Upcott,UK,Eclairs,05/08/2023,2900.25,243
,,Gunar Cockshoot,USA,Caramel Stuffed Bars,03/17/2023,6390,280
,,Van Tuxwell,USA   ,Almond Choco,06/05/2023,2544.75,745
,,Kelci Walkden,Canada   ,99% Dark & Pure,05/05/2023,4351.5,307
,,Camilla Castle,Canada   ,Fruit & Nut Bars,02/22/2024,1485,83
,,Oby Sorrel,New Zealand,After Nines,03/13/2023,8572.5,167
,,Gigi Bohling,India  ,Fruit & Nut Bars,02/20/2023,8813.25,754
,,Madelene Upcott,Canada  ,70% Dark Bites,11/06/2023,558,27
,,Roddy Speechley,USA ,White Choc,04/27/2023,2448,234
,,Rafaelita Blaksland,UK,Fruit & Nut Bars,01/22/2024,7724.25,224
,,Rafaelita Blaksland,USA  ,70% Dark Bites,02/06/2023,2857.5,127
,,Dennison Crosswaite,India,Raspberry Choco,03/20/2023,3003.75,54
,,Jehu Rudeforth,USA   ,Drinking Coco,03/02/2023,5816.25,215
,,Andria Kimpton,UK  ,Raspberry Choco,02/02/2023,4509,788
,,Beverie Moffet,New Zealand  ,85% Dark Bars,11/23/2023,5622.75,188
,,Mallorie Waber,USA   ,Eclairs,03/10/2023,3071.25,6
,,Kaine Padly,USA,70% Dark Bites,04/07/2023,8734.5,194
,,Rafaelita Blaksland,USA,White Choc,02/09/2024,7636.5,228
,,Andria Kimpton,New Zealand,Choco Coated Almonds,02/12/2024,5935.5,500
,,Brien Boise,USA ,Peanut Butter Cubes,02/09/2023,8822.25,749
,,Dotty Strutley,Canada  ,Orange Choco,09/14/2023,8682.75,155
,,Brien Boise,India ,Raspberry Choco,12/25/2023,3291.75,129
,,Oby Sorrel,Australia  ,Raspberry Choco,01/16/2024,2511,687
,,Rafaelita Blaksland,Australia   ,Choco Coated Almonds,01/29/2024,4198.5,535
,,Oby Sorrel,UK ,Baker's Choco Chips,10/10/2023,8262,301
,,Beverie Moffet,Canada ,Drinking Coco,10/20/2023,4977,420
,,Van Tuxwell,UK ,Orange Choco,07/07/2023,7429.5,872
,,Ches Bonnell,Canada,Raspberry Choco,11/23/2023,8446.5,1192
,,Van Tuxwell,New Zealand,Spicy Special Slims,08/04/2023,3300.75,306
,,Curtice Advani,India,After Nines,10/19/2023,6855.75,503
,,Curtice Advani,Australia ,Eclairs,01/17/2024,4414.5,273
,,Madelene Upcott,New Zealand   ,Drinking Coco,06/05/2023,5820.75,9
,,Gunar Cockshoot,New Zealand,Peanut Butter Cubes,03/21/2023,9720,977
,,Rafaelita Blaksland,UK ,Eclairs,08/07/2023,3566.25,466
,,Ches Bonnell,Canada  ,Eclairs,01/18/2024,3359.25,368
,,Marney O'Breen,Canada  ,Manuka Honey Choco,06/27/2023,4745.25,73
,,Karlen McCaffrey,India   ,Smooth Silky Salty,09/15/2023,756,581
,,Jehu Rudeforth,Australia   ,Smooth Silky Salty,01/18/2024,303.75,811
,,Marney O'Breen,USA  ,Almond Choco,05/16/2023,3026.25,661
,,Mallorie Waber,India,85% Dark Bars,12/04/2023,9011.25,204
,,Andria Kimpton,New Zealand   ,50% Dark Bites,05/15/2023,4988.25,153
,,Wilone O'Kielt,USA,White Choc,03/08/2023,4662,245
,,Jan Morforth,USA,Milk Bars,10/13/2023,12741.75,130
,,Gigi Bohling,India   ,Choco Coated Almonds,04/05/2023,15549.75,247
,,Camilla Castle,Canada  ,Drinking Coco,05/24/2023,6954.75,396
,,Madelene Upcott,New Zealand ,Raspberry Choco,09/11/2023,1734.75,629
,,Ches Bonnell,New Zealand,50% Dark Bites,05/19/2023,3255.75,1244
,,Wilone O'Kielt,UK   ,After Nines,10/06/2023,1084.5,604
,,Kaine Padly,New Zealand   ,Milk Bars,01/10/2024,6372,199
,,Ches Bonnell,USA  ,99% Dark & Pure,08/22/2023,9783,307
,,Kelci Walkden,USA   ,99% Dark & Pure,02/23/2023,9740.25,91
,,Rafaelita Blaksland,New Zealand   ,Almond Choco,02/23/2024,3467.25,442
,,Roddy Speechley,UK   ,Spicy Special Slims,07/19/2023,3141,292
,,Dotty Strutley,Australia,Eclairs,05/09/2023,985.5,136
,,Madelene Upcott,New Zealand  ,Peanut Butter Cubes,08/01/2023,6133.5,459
,,Kelci Walkden,Australia  ,Spicy Special Slims,11/03/2023,8615.25,124
,,Ches Bonnell,Canada   ,70% Dark Bites,03/27/2023,2220.75,272
,,Jan Morforth,New Zealand,99% Dark & Pure,03/17/2023,13293,331
,,Gigi Bohling,New Zealand  ,99% Dark & Pure,04/19/2023,11835,213
,,Barr Faughny,New Zealand,Orange Choco,06/22/2023,333,248
,,Jan Morforth,India   ,Choco Coated Almonds,03/20/2023,2871,113
,,Marney O'Breen,India   ,Manuka Honey Choco,09/06/2023,1716.75,273
,,Barr Faughny,Australia  ,Spicy Special Slims,02/28/2024,10604.25,503
,,Madelene Upcott,UK  ,White Choc,05/10/2023,211.5,598
,,Dennison Crosswaite,UK  ,Choco Coated Almonds,09/13/2023,4329,375
,,Beverie Moffet,India,Almond Choco,06/13/2023,2151,178
,,Marney O'Breen,USA ,Mint Chip Choco,12/13/2023,3998.25,432
,,Dennison Crosswaite,New Zealand  ,Mint Chip Choco,03/01/2023,1147.5,301
,,Camilla Castle,New Zealand  ,White Choc,06/05/2023,2445.75,237
,,Van Tuxwell,Australia,Eclairs,03/01/2023,1613.25,27
,,Dotty Strutley,Australia,Raspberry Choco,01/05/2024,11900.25,163
,,Marney O'Breen,India   ,85% Dark Bars,09/18/2023,5386.5,362
,,Curtice Advani,Australia   ,70% Dark Bites,11/20/2023,4614.75,641
,,Dotty Strutley,India ,Smooth Silky Salty,04/14/2023,4070.25,632
,,Gunar Cockshoot,Canada   ,Eclairs,02/14/2023,7026.75,112
,,Brien Boise,Australia  ,After Nines,04/04/2023,10217.25,445
,,Barr Faughny,India   ,Eclairs,02/08/2023,1944,397
,,Gunar Cockshoot,USA,70% Dark Bites,02/21/2024,8631,265
,,Andria Kimpton,USA  ,50% Dark Bites,09/14/2023,5397.75,255
,,Marney O'Breen,New Zealand,Smooth Silky Salty,04/13/2023,3262.5,37
,,Andria Kimpton,India,Fruit & Nut Bars,05/17/2023,5688,111
,,Andria Kimpton,Canada,Milk Bars,06/14/2023,6459.75,249
,,Mallorie Waber,UK,Eclairs,02/08/2024,1399.5,295
,,Jehu Rudeforth,Australia  ,Mint Chip Choco,02/06/2023,2439,880
,,Mallorie Waber,India  ,Mint Chip Choco,01/02/2024,542.25,789
,,Jan Morforth,USA   ,Eclairs,07/21/2023,1815.75,27
,,Roddy Speechley,Canada  ,50% Dark Bites,07/28/2023,1219.5,383
,,Van Tuxwell,Australia,Baker's Choco Chips,10/19/2023,3118.5,137
,,Van Tuxwell,UK,Manuka Honey Choco,10/30/2023,1599.75,11
,,Curtice Advani,India  ,Smooth Silky Salty,09/07/2023,6822,900
,,Rafaelita Blaksland,USA  ,Peanut Butter Cubes,01/12/2024,10210.5,41
,,Madelene Upcott,Canada ,Manuka Honey Choco,05/03/2023,8689.5,378
,,Wilone O'Kielt,USA   ,Caramel Stuffed Bars,09/13/2023,384.75,55
,,Jehu Rudeforth,Canada ,70% Dark Bites,11/17/2023,2171.25,167
,,Brien Boise,India ,Smooth Silky Salty,04/21/2023,10161,524
,,Curtice Advani,UK,White Choc,05/04/2023,6016.5,249
,,Wilone O'Kielt,Canada   ,50% Dark Bites,08/09/2023,6615,1560
,,Ches Bonnell,New Zealand,After Nines,07/05/2023,5654.25,372
,,Kelci Walkden,Australia  ,Peanut Butter Cubes,10/26/2023,2965.5,23
,,Marney O'Breen,USA   ,Choco Coated Almonds,10/04/2023,4311,677
,,Jehu Rudeforth,Canada,Milk Bars,01/01/2024,2702.25,391
,,Husein Augar,India  ,Milk Bars,10/25/2023,4563,75
,,Dotty Strutley,Canada ,85% Dark Bars,10/11/2023,2499.75,7
,,Dotty Strutley,UK  ,White Choc,02/06/2023,7083,201
,,Kelci Walkden,Canada   ,White Choc,05/17/2023,3224.25,355
,,Rafaelita Blaksland,USA  ,Orange Choco,09/29/2023,5406.75,84
,,Husein Augar,Australia   ,Spicy Special Slims,02/19/2024,12735,333
,,Camilla Castle,India  ,White Choc,03/27/2023,5400,259
,,Wilone O'Kielt,UK,70% Dark Bites,10/23/2023,3663,407
,,Karlen McCaffrey,Canada ,Drinking Coco,09/20/2023,7728.75,529
,,Roddy Speechley,USA ,50% Dark Bites,03/16/2023,7542,1750
,,Oby Sorrel,UK ,Peanut Butter Cubes,03/28/2023,5449.5,1293
,,Van Tuxwell,USA   ,70% Dark Bites,07/07/2023,1802.25,37
,,Roddy Speechley,USA  ,Caramel Stuffed Bars,02/20/2023,11241,128
,,Wilone O'Kielt,UK,Fruit & Nut Bars,08/09/2023,3699,647
,,Ches Bonnell,USA,Manuka Honey Choco,02/28/2024,8471.25,113
,,Dotty Strutley,Australia ,After Nines,10/16/2023,11063.25,298
,,Wilone O'Kielt,Australia ,70% Dark Bites,08/10/2023,5375.25,368
,,Marney O'Breen,Canada ,50% Dark Bites,07/04/2023,2544.75,506
,,Mallorie Waber,USA,Drinking Coco,03/27/2023,5247,136
,,Jan Morforth,Canada ,Choco Coated Almonds,11/30/2023,1939.5,172
,,Curtice Advani,New Zealand ,Peanut Butter Cubes,10/30/2023,9177.75,164
,,Oby Sorrel,Australia ,Caramel Stuffed Bars,02/08/2024,7670.25,301
,,Van Tuxwell,India,Eclairs,02/02/2023,4808.25,148
,,Wilone O'Kielt,Australia  ,After Nines,01/29/2024,3012.75,376
,,Dotty Strutley,India,Eclairs,11/24/2023,7744.5,319
,,Mallorie Waber,Australia  ,Manuka Honey Choco,09/05/2023,5636.25,144
,,Marney O'Breen,India ,Peanut Butter Cubes,04/19/2023,8048.25,195
,,Kaine Padly,Canada ,Milk Bars,10/27/2023,11205,245
,,Barr Faughny,New Zealand   ,Spicy Special Slims,01/31/2024,2673,221
,,Ches Bonnell,Canada   ,Caramel Stuffed Bars,12/06/2023,11342.25,300
,,Husein Augar,Canada  ,Milk Bars,12/12/2023,744.75,237
,,Jehu Rudeforth,USA   ,85% Dark Bars,10/02/2023,7580.25,75
,,Oby Sorrel,Canada,50% Dark Bites,07/10/2023,10188,345
,,Madelene Upcott,New Zealand ,Milk Bars,11/16/2023,2907,242
,,Madelene Upcott,USA,Peanut Butter Cubes,08/08/2023,8712,206
,,Dotty Strutley,Canada,White Choc,10/20/2023,7398,624
,,Beverie Moffet,Australia ,99% Dark & Pure,11/16/2023,5244.75,613
,,Ches Bonnell,India  ,Smooth Silky Salty,05/05/2023,1329.75,109
,,Wilone O'Kielt,New Zealand   ,Milk Bars,03/01/2023,9501.75,156
,,Ches Bonnell,India  ,Spicy Special Slims,06/07/2023,3782.25,128
,,Kelci Walkden,UK   ,Smooth Silky Salty,06/12/2023,4592.25,12
,,Dennison Crosswaite,New Zealand,White Choc,02/16/2024,3159,497
,,Beverie Moffet,USA   ,70% Dark Bites,12/07/2023,5280.75,338
,,Van Tuxwell,USA,Manuka Honey Choco,03/28/2023,9110.25,107
,,Karlen McCaffrey,Australia   ,70% Dark Bites,12/22/2023,4842,74
,,Barr Faughny,UK  ,Fruit & Nut Bars,02/12/2024,3134.25,771
,,Camilla Castle,USA  ,Orange Choco,02/26/2024,13520.25,232
,,Gigi Bohling,Australia ,Orange Choco,01/09/2024,8880.75,613
,,Oby Sorrel,New Zealand,Almond Choco,10/17/2023,14292,94
,,Karlen McCaffrey,New Zealand  ,Manuka Honey Choco,02/23/2023,2234.25,429
,,Dennison Crosswaite,India,Fruit & Nut Bars,02/08/2023,4326.75,89
,,Jehu Rudeforth,UK  ,Peanut Butter Cubes,06/27/2023,5105.25,145
,,Mallorie Waber,New Zealand  ,Baker's Choco Chips,07/17/2023,5913,119
,,Karlen McCaffrey,Australia,Caramel Stuffed Bars,12/06/2023,12051,334
,,Roddy Speechley,India   ,85% Dark Bars,03/30/2023,1316.25,133
,,Marney O'Breen,New Zealand   ,Baker's Choco Chips,01/03/2024,6302.25,647
,,Camilla Castle,India ,Spicy Special Slims,12/07/2023,8338.5,22
,,Husein Augar,UK   ,Caramel Stuffed Bars,04/13/2023,1512,40
,,Van Tuxwell,Australia   ,Manuka Honey Choco,06/14/2023,11853,73
,,Husein Augar,USA ,Spicy Special Slims,12/20/2023,9911.25,49
,,Wilone O'Kielt,India   ,Baker's Choco Chips,09/12/2023,7742.25,520
,,Roddy Speechley,Canada   ,Mint Chip Choco,11/27/2023,249.75,669
,,Beverie Moffet,New Zealand ,Drinking Coco,07/11/2023,4882.5,352
,,Karlen McCaffrey,Canada ,Milk Bars,05/11/2023,1489.5,394
,,Madelene Upcott,Canada,50% Dark Bites,01/29/2024,1901.25,1165
,,Andria Kimpton,India   ,Almond Choco,01/30/2024,4909.5,214
,,Barr Faughny,India   ,After Nines,01/23/2024,1759.5,35
,,Barr Faughny,New Zealand ,Smooth Silky Salty,02/22/2024,2882.25,72
,,Curtice Advani,Australia,Fruit & Nut Bars,10/17/2023,5298.75,748
,,Beverie Moffet,Australia  ,Almond Choco,01/25/2024,1422,869
,,Ches Bonnell,India  ,Eclairs,12/14/2023,3615.75,148
,,Ches Bonnell,India   ,99% Dark & Pure,03/30/2023,1995.75,152
,,Gunar Cockshoot,UK   ,Organic Choco Syrup,02/20/2023,12199.5,195
,,Kaine Padly,UK,Manuka Honey Choco,08/03/2023,10188,492
,,Camilla Castle,New Zealand   ,Manuka Honey Choco,10/11/2023,8070.75,16
,,Camilla Castle,USA,After Nines,12/01/2023,10521,202
,,Dennison Crosswaite,India  ,After Nines,11/28/2023,9409.5,3
,,Oby Sorrel,India,Choco Coated Almonds,04/03/2023,4.5,909
,,Jan Morforth,Canada ,50% Dark Bites,07/31/2023,546.75,1750
,,Oby Sorrel,Australia   ,Baker's Choco Chips,01/19/2024,2108.25,136
,,Wilone O'Kielt,New Zealand   ,Drinking Coco,09/07/2023,4655.25,530
,,Kaine Padly,Canada,Spicy Special Slims,11/21/2023,9778.5,329
,,Marney O'Breen,Canada  ,Spicy Special Slims,01/05/2024,6543,150
,,Wilone O'Kielt,India   ,Milk Bars,10/10/2023,6511.5,5
,,Dennison Crosswaite,USA ,85% Dark Bars,11/17/2023,1696.5,164
,,Gunar Cockshoot,India   ,Raspberry Choco,06/22/2023,4560.75,153
,,Kaine Padly,USA ,Organic Choco Syrup,10/30/2023,3658.5,60
,,Camilla Castle,New Zealand   ,85% Dark Bars,03/23/2023,2958.75,315
,,Rafaelita Blaksland,India  ,Peanut Butter Cubes,12/11/2023,6943.5,534
,,Roddy Speechley,New Zealand,Choco Coated Almonds,11/01/2023,4740.75,28
,,Camilla Castle,UK  ,Caramel Stuffed Bars,04/11/2023,8122.5,104
,,Marney O'Breen,Australia  ,Baker's Choco Chips,12/20/2023,12226.5,256
,,Madelene Upcott,India ,50% Dark Bites,09/06/2023,4239,1970
,,Gigi Bohling,Canada,99% Dark & Pure,11/21/2023,7044.75,148
,,Barr Faughny,India   ,99% Dark & Pure,06/09/2023,6795,46
,,Dotty Strutley,USA  ,Raspberry Choco,03/06/2023,8903.25,1621
,,Rafaelita Blaksland,Canada  ,50% Dark Bites,12/13/2023,2486.25,86
,,Mallorie Waber,New Zealand ,Eclairs,09/18/2023,4515.75,18
,,Camilla Castle,UK ,Mint Chip Choco,08/31/2023,531,191
,,Gunar Cockshoot,Canada ,Peanut Butter Cubes,05/30/2023,6540.75,342
,,Dennison Crosswaite,India  ,Eclairs,05/26/2023,9868.5,121
,,Kelci Walkden,New Zealand   ,99% Dark & Pure,10/31/2023,10667.25,455
,,Gigi Bohling,USA  ,After Nines,02/07/2024,2036.25,180
,,Kelci Walkden,Australia,Smooth Silky Salty,02/06/2023,1536.75,669
,,Kelci Walkden,Canada   ,Raspberry Choco,01/23/2024,4295.25,408
,,Camilla Castle,Canada   ,Spicy Special Slims,08/17/2023,4005,371
,,Dotty Strutley,Canada   ,Mint Chip Choco,08/07/2023,816.75,105
,,Karlen McCaffrey,Australia  ,Eclairs,02/01/2024,3962.25,201
,,Gunar Cockshoot,USA,White Choc,11/01/2023,3658.5,412
,,Karlen McCaffrey,New Zealand,Spicy Special Slims,12/25/2023,6372,174
,,Marney O'Breen,USA   ,Eclairs,11/28/2023,4893.75,511
,,Brien Boise,Australia  ,50% Dark Bites,11/22/2023,2205,181
,,Kaine Padly,Canada  ,Organic Choco Syrup,12/06/2023,459,100
,,Roddy Speechley,Australia ,85% Dark Bars,04/03/2023,4720.5,123
,,Roddy Speechley,Australia   ,Raspberry Choco,01/22/2024,2709,186
,,Curtice Advani,Canada  ,Smooth Silky Salty,11/01/2023,2857.5,261
,,Andria Kimpton,India,Milk Bars,06/26/2023,636.75,73
,,Dotty Strutley,USA  ,Almond Choco,12/12/2023,6930,500
,,Madelene Upcott,India,Fruit & Nut Bars,05/25/2023,56.25,1475
,,Beverie Moffet,Australia,Eclairs,09/28/2023,3485.25,423
,,Mallorie Waber,Australia,Raspberry Choco,10/20/2023,3411,228
,,Gigi Bohling,Canada  ,Almond Choco,02/23/2023,2160,431
,,Kaine Padly,Australia,Milk Bars,03/02/2023,3910.5,137
,,Brien Boise,Australia ,Spicy Special Slims,10/19/2023,3417.75,29
,,Roddy Speechley,Canada   ,Orange Choco,09/04/2023,461.25,211
,,Beverie Moffet,UK  ,99% Dark & Pure,08/09/2023,6003,259
,,Karlen McCaffrey,New Zealand   ,Milk Bars,11/17/2023,722.25,59
,,Mallorie Waber,India  ,Choco Coated Almonds,01/29/2024,5305.5,40
,,Roddy Speechley,India   ,Fruit & Nut Bars,10/05/2023,5098.5,620
,,Andria Kimpton,Canada,Mint Chip Choco,08/18/2023,1435.5,257
,,Brien Boise,New Zealand  ,Organic Choco Syrup,05/11/2023,751.5,133
,,Husein Augar,UK ,Eclairs,02/27/2024,738,519
,,Camilla Castle,India   ,Choco Coated Almonds,05/16/2023,1021.5,167
,,Karlen McCaffrey,Australia   ,Almond Choco,05/24/2023,14530.5,730
,,Marney O'Breen,New Zealand   ,Orange Choco,10/27/2023,4119.75,188
,,Brien Boise,Canada,Drinking Coco,07/07/2023,11812.5,133
,,Gunar Cockshoot,New Zealand  ,50% Dark Bites,07/17/2023,2943,8
,,Beverie Moffet,Canada,50% Dark Bites,03/16/2023,2855.25,877
,,Karlen McCaffrey,USA  ,Spicy Special Slims,08/03/2023,922.5,55
,,Curtice Advani,India   ,Manuka Honey Choco,07/24/2023,9427.5,393
,,Camilla Castle,Canada  ,Almond Choco,05/05/2023,11524.5,276
,,Kelci Walkden,Canada  ,Choco Coated Almonds,10/10/2023,8442,384
,,Dotty Strutley,USA   ,Manuka Honey Choco,09/25/2023,12280.5,102
,,Oby Sorrel,USA  ,Caramel Stuffed Bars,01/22/2024,8293.5,132
,,Kaine Padly,Australia  ,Almond Choco,10/04/2023,5897.25,92
,,Andria Kimpton,Canada   ,Spicy Special Slims,07/03/2023,7911,365
,,Rafaelita Blaksland,New Zealand   ,Fruit & Nut Bars,02/29/2024,12838.5,123
